Factor,Average Return (Ann. %),Volatility (Ann. %),Sharpe Ratio,CAPM Beta,CAPM Alpha (Ann. %),FF4 Alpha (Ann. %),Average Return (Ann. %)_rank,Volatility (Ann. %)_rank,Sharpe Ratio_rank,CAPM Beta_rank,CAPM Alpha (Ann. %)_rank,FF4 Alpha (Ann. %)_rank,total_factors
sale_emp_gr1,0.09355662267212958,5.601998910177361,0.016700578520670858,0.03222764825925079,-0.2148187029056281,-0.006490025655536691,130,46,129,17,138,135,153
sale_gr1,1.530855236835311,7.175067019815343,0.21335762197169122,-0.08501567748620249,2.3139047385767775,1.7562228685719328,90,82,95,101,85,97,153
sale_gr3,1.445910301452586,7.242859251834269,0.19963252787031674,-0.1349207015253294,2.6860573071563643,1.8064438200140476,96,83,98,117,77,94,153
sale_me,5.296085792707206,9.507601439690164,0.5570370010040929,0.04113587866995977,5.042967737757231,5.36744189616587,6,126,23,15,31,13,153
saleq_gr1,0.09045128446816823,10.295428407194617,0.008785577529241946,-0.12293107822617513,1.1029400937705658,1.7574698400873778,131,139,132,116,117,96,153
saleq_su,3.6706641325872638,6.275418220979318,0.5849274109438454,-0.04513689854013896,4.17184533782764,3.5967703151344566,34,63,19,74,48,46,153
seas_11_15an,0.23858490304035654,3.733992197615558,0.06389539410197788,-0.029739711982456694,0.48090505712798937,0.2092955216410619,125,9,121,60,125,131,153
seas_11_15na,0.06222448157853534,3.9919125900054047,0.015587636296026988,-0.007695490100343802,0.1247253885231503,0.16166105132451314,132,13,131,41,132,133,153
seas_16_20an,2.049001428114113,3.3721128794910555,0.6076313282915261,0.0033824062564174057,2.0338438148307603,2.2051172415857856,76,6,13,34,95,79,153
seas_16_20na,0.11819187898164342,3.5616868013009992,0.033184242628653014,-0.035915270355397225,0.4789219165261205,0.6759918915404395,129,7,127,64,126,122,153
seas_1_1an,2.9724354759156406,6.238908030494006,0.47643521292303437,0.013639424498421695,2.8892782364078107,2.7971726056269075,50,61,40,25,69,63,153
seas_1_1na,2.6656922123020053,11.400446281816947,0.23382349659009666,-0.1705818896807328,4.256412608688032,0.8265480514499934,61,147,86,129,47,121,153
seas_2_5an,2.3231287484557868,4.413542777362824,0.5263637095285844,0.03719768480371865,1.9927891458979996,2.2752961602571453,69,17,27,16,96,77,153
seas_2_5na,2.926766057074431,6.90381771808824,0.4239344340459922,-0.15283690214722395,4.4460097620088845,3.869018564114901,54,76,50,126,43,42,153
seas_6_10an,4.599216680045778,4.35509742915545,1.0560536830372744,0.015367897624804432,4.556354460108669,5.134561680359573,20,16,2,23,42,19,153
seas_6_10na,4.288122309283148,5.145245197804541,0.8334145690691039,-0.13749144664742394,5.639629754870135,5.1549523257991225,25,29,4,118,25,18,153
sti_gr1a,-0.43036671737954346,4.584060177319917,-0.09388330447947096,0.04762027643173758,-0.8435302297541081,-0.9860270715360664,142,19,142,14,147,148,153
taccruals_at,0.18947697145905118,6.906799508751132,0.027433396788046027,-0.0163682539669536,0.33564870080013964,0.3366521767761421,127,77,128,50,131,128,153
taccruals_ni,-0.20671235780687852,5.353976131118852,-0.03860912950384794,0.004751925221855904,-0.24884469314793156,-0.4601297107150182,138,37,137,32,139,143,153
tangibility,1.2087655946412372,5.907363567606989,0.20462014582435725,-0.05413278001375237,1.7036374991341363,1.3345089605674598,104,54,96,81,105,110,153
tax_gr1a,0.3663542338899561,6.13189565156891,0.05974567323177141,-0.0068658700384694625,0.42847949797570895,0.47805260547759687,122,59,122,38,127,126,153
turnover_126d,1.093286759709813,7.9289326326529785,0.13788574204899068,-0.35535594461461883,4.357282727159495,3.840674534199384,108,97,111,146,45,44,153
turnover_var_126d,1.1066076877103526,4.884063362610903,0.22657521116163135,0.13821056218317113,-0.12986757102181334,0.034392376294278826,107,24,92,5,135,134,153
z_score,-1.3546479085875767,8.343623112070702,-0.16235727457869115,0.004659363725260508,-1.3869932880138935,-0.8460609592297552,149,109,147,33,148,147,153
zero_trades_126d,1.1264487395297562,7.929904706969802,0.14205072837000055,-0.3562253937785952,4.399863846869367,3.8671352350558186,105,99,110,147,44,43,153
zero_trades_21d,-0.7635644019135114,7.592816693298526,-0.1005640505699866,-0.32445950963989445,2.219493135751338,1.787613856311232,144,91,144,142,88,95,153
zero_trades_252d,1.4481932926728027,7.92895532202596,0.18264616634297906,-0.3616505318711069,4.772232686242273,4.196365216988385,94,98,103,148,35,36,153
